iter	Passed	Remaining
816	9520	2132
817	9532	2120
818	9543	2109
819	9555	2097
820	9566	2085
821	9577	2074
822	9589	2062
823	9600	2050
824	9611	2038
825	9623	2027
826	9634	2015
827	9646	2003
828	9657	1992
829	9668	1980
830	9679	1968
831	9691	1956
832	9702	1945
833	9714	1933
834	9725	1921
835	9737	1910
836	9749	1898
837	9760	1886
838	9772	1875
839	9784	1863
840	9795	1851
841	9807	1840
842	9818	1828
843	9830	1816
844	9841	1805
845	9852	1793
846	9864	1781
847	9875	1770
848	9887	1758
849	9899	1746
850	9910	1735
851	9922	1723
852	9933	1711
853	9944	1700
854	9955	1688
855	9967	1676
856	9979	1665
857	9990	1653
858	10001	1641
859	10012	1629
860	10024	1618
861	10035	1606
862	10046	1594
863	10057	1583
864	10068	1571
865	10080	1559
866	10091	1548
867	10103	1536
868	10114	1524
869	10126	1513
870	10137	1501
871	10149	1489
872	10160	1478
873	10171	1466
874	10183	1454
875	10195	1443
876	10207	1431
877	10218	1419
878	10229	1408
879	10240	1396
880	10252	1384
881	10263	1373
882	10275	1361
883	10287	1349
884	10299	1338
885	10310	1326
886	10322	1314
887	10333	1303
888	10344	1291
889	10356	1280
890	10367	1268
891	10379	1256
892	10390	1244
893	10401	1233
894	10412	1221
895	10424	1209
896	10435	1198
897	10447	1186
898	10458	1175
899	10470	1163
900	10482	1151
901	10493	1140
902	10504	1128
903	10516	1116
904	10527	1105
905	10539	1093
906	10551	1081
907	10562	1070
908	10573	1058
909	10585	1046
910	10596	1035
911	10607	1023
912	10618	1011
913	10630	1000
914	10641	988
915	10653	976
916	10664	965
917	10676	953
918	10687	941
919	10699	930
920	10710	918
921	10721	907
922	10732	895
923	10744	883
924	10755	872
925	10766	860
926	10778	848
927	10790	837
928	10801	825
929	10813	813
930	10824	802
931	10836	790
932	10847	778
933	10858	767
934	10870	755
935	10881	744
936	10892	732
937	10903	720
938	10914	709
939	10926	697
940	10937	685
941	10948	674
942	10959	662
943	10971	650
944	10983	639
945	10995	627
